"Name","Category","ExistsNow","Moved","Source","Destination","Reason"
"5.3_Cox_H30_预测续费概率.csv","不重要","False","False","D:\yangky\数学建模\校内赛\模型输出结果\5.3_Cox_H30_预测续费概率.csv","D:\yangky\数学建模\校内赛\模型输出结果\归档_不重要\5.3_Cox_H30_预测续费概率.csv","逐行预测明细，论文不引用，体量大"
"5.3_状态增强随机森林与对比模型预测_H30.csv","不重要","False","False","D:\yangky\数学建模\校内赛\模型输出结果\5.3_状态增强随机森林与对比模型预测_H30.csv","D:\yangky\数学建模\校内赛\模型输出结果\归档_不重要\5.3_状态增强随机森林与对比模型预测_H30.csv","逐行预测明细，论文不引用，体量大"
"5.3_状态增强随机森林与对比模型预测_H60.csv","不重要","False","False","D:\yangky\数学建模\校内赛\模型输出结果\5.3_状态增强随机森林与对比模型预测_H60.csv","D:\yangky\数学建模\校内赛\模型输出结果\归档_不重要\5.3_状态增强随机森林与对比模型预测_H60.csv","逐行预测明细，论文不引用，体量大"
"5.3_图14_状态增强随机森林与对比模型概率分布_H30.png","不重要","False","False","D:\yangky\数学建模\校内赛\模型输出结果\5.3_图14_状态增强随机森林与对比模型概率分布_H30.png","D:\yangky\数学建模\校内赛\模型输出结果\归档_不重要\5.3_图14_状态增强随机森林与对比模型概率分布_H30.png","非最新论文框架推荐图，保留指标对比和H30/H60稳健性图即可"
"5.3_图14_状态增强随机森林与对比模型概率分布_H60.png","不重要","False","False","D:\yangky\数学建模\校内赛\模型输出结果\5.3_图14_状态增强随机森林与对比模型概率分布_H60.png","D:\yangky\数学建模\校内赛\模型输出结果\归档_不重要\5.3_图14_状态增强随机森林与对比模型概率分布_H60.png","非最新论文框架推荐图，保留指标对比和H30/H60稳健性图即可"
"5.3_图15_状态增强随机森林特征重要性Top15_H60.png","不重要","False","False","D:\yangky\数学建模\校内赛\模型输出结果\5.3_图15_状态增强随机森林特征重要性Top15_H60.png","D:\yangky\数学建模\校内赛\模型输出结果\归档_不重要\5.3_图15_状态增强随机森林特征重要性Top15_H60.png","论文主解释使用H30特征重要性，H60保留指标稳健性即可"
"5.3_状态增强随机森林特征重要性_H60.csv","不重要","False","False","D:\yangky\数学建模\校内赛\模型输出结果\5.3_状态增强随机森林特征重要性_H60.csv","D:\yangky\数学建模\校内赛\模型输出结果\归档_不重要\5.3_状态增强随机森林特征重要性_H60.csv","论文主解释使用H30特征重要性，H60保留指标稳健性即可"
"5.4_私教购买模型测试集预测.csv","旧模型不适用","False","False","D:\yangky\数学建模\校内赛\模型输出结果\5.4_私教购买模型测试集预测.csv","D:\yangky\数学建模\校内赛\模型输出结果\归档_旧模型不适用\5.4_私教购买模型测试集预测.csv","旧版私教模型逐行预测明细，已由增强模型替代"
"5.4_私教购买模型对比结果.md","旧模型不适用","False","False","D:\yangky\数学建模\校内赛\模型输出结果\5.4_私教购买模型对比结果.md","D:\yangky\数学建模\校内赛\模型输出结果\归档_旧模型不适用\5.4_私教购买模型对比结果.md","旧版私教模型报告，最新论文口径使用增强模型"
"5.4_私教购买模型对比指标.csv","旧模型不适用","False","False","D:\yangky\数学建模\校内赛\模型输出结果\5.4_私教购买模型对比指标.csv","D:\yangky\数学建模\校内赛\模型输出结果\归档_旧模型不适用\5.4_私教购买模型对比指标.csv","旧版私教模型指标，最新论文口径使用增强模型"
"5.4_私教购买模型混淆矩阵.csv","旧模型不适用","False","False","D:\yangky\数学建模\校内赛\模型输出结果\5.4_私教购买模型混淆矩阵.csv","D:\yangky\数学建模\校内赛\模型输出结果\归档_旧模型不适用\5.4_私教购买模型混淆矩阵.csv","旧版私教模型结果，最新论文口径使用增强模型"
"5.4_随机森林私教购买特征重要性.csv","旧模型不适用","False","False","D:\yangky\数学建模\校内赛\模型输出结果\5.4_随机森林私教购买特征重要性.csv","D:\yangky\数学建模\校内赛\模型输出结果\归档_旧模型不适用\5.4_随机森林私教购买特征重要性.csv","旧版私教模型特征重要性，最新论文口径使用增强模型"
"5.4_图1_私教购买模型指标对比.png","旧模型不适用","False","False","D:\yangky\数学建模\校内赛\模型输出结果\5.4_图1_私教购买模型指标对比.png","D:\yangky\数学建模\校内赛\模型输出结果\归档_旧模型不适用\5.4_图1_私教购买模型指标对比.png","旧版私教模型图片，最新论文口径使用图4-图7"
"5.4_图2_私教购买模型PR曲线.png","旧模型不适用","False","False","D:\yangky\数学建模\校内赛\模型输出结果\5.4_图2_私教购买模型PR曲线.png","D:\yangky\数学建模\校内赛\模型输出结果\归档_旧模型不适用\5.4_图2_私教购买模型PR曲线.png","旧版私教模型图片，最新论文口径使用图4-图7"
"5.4_图3_随机森林私教购买特征重要性Top15.png","旧模型不适用","False","False","D:\yangky\数学建模\校内赛\模型输出结果\5.4_图3_随机森林私教购买特征重要性Top15.png","D:\yangky\数学建模\校内赛\模型输出结果\归档_旧模型不适用\5.4_图3_随机森林私教购买特征重要性Top15.png","旧版私教模型图片，最新论文口径使用增强模型"
